longitude,latitude,time,t2m,skt,tp
102.9,30,2011/1/1 0:00,273.5213055,271.5181017,0.00106278
102.9,30,2011/1/1 1:00,274.1428432,272.2569911,7.35E-05
102.9,30,2011/1/1 2:00,274.6595431,275.1618006,0.000163939
102.9,30,2011/1/1 3:00,275.2017037,276.2072073,0.000271348
102.9,30,2011/1/1 4:00,275.8771579,277.733704,0.000390063
102.9,30,2011/1/1 5:00,276.2306106,278.1701359,0.000537043
102.9,30,2011/1/1 6:00,276.2560712,278.2229137,0.000700983
102.9,30,2011/1/1 7:00,276.3129831,277.7134048,0.000864922
102.9,30,2011/1/1 8:00,276.4567605,278.0787897,0.001023208
102.9,30,2011/1/1 9:00,275.8307298,276.8933188,0.001175842
102.9,30,2011/1/1 10:00,275.1118428,275.8215233,0.001390659
102.9,30,2011/1/1 11:00,274.2596623,274.5934242,0.001656354
102.9,30,2011/1/1 12:00,273.9107026,274.1488726,0.001967274
102.9,30,2011/1/1 13:00,273.438933,273.5581671,0.002329071
102.9,30,2011/1/1 14:00,273.1199269,273.2272908,0.002690869
102.9,30,2011/1/1 15:00,272.9117493,272.9471624,0.003052666
102.9,30,2011/1/1 16:00,272.6676272,272.6731238,0.00342577
102.9,30,2011/1/1 17:00,272.4609473,272.4011151,0.00379322
102.9,30,2011/1/1 18:00,272.3291513,272.2224825,0.004149365
102.9,30,2011/1/1 19:00,272.335142,271.7596617,0.004426366
102.9,30,2011/1/1 20:00,272.2392904,271.7616916,0.004641183
102.9,30,2011/1/1 21:00,272.0625641,271.5505803,0.004861653
102.9,30,2011/1/1 22:00,271.9382565,271.3963067,0.005104736
102.9,30,2011/1/1 23:00,271.7795023,270.9334859,0.005381737
102.9,30,2011/1/2 0:00,271.8783493,270.8401098,0.005687004
102.9,30,2011/1/2 1:00,271.5922922,270.7995115,0.000344838
102.9,30,2011/1/2 2:00,271.8319212,271.5444906,0.00060488
102.9,30,2011/1/2 3:00,272.3591049,272.9634018,0.000797085
102.9,30,2011/1/2 4:00,272.4684357,273.6556031,0.000955371
102.9,30,2011/1/2 5:00,273.6051756,275.90069,0.001057127
102.9,30,2011/1/2 6:00,273.9256794,276.4974852,0.001124964
102.9,30,2011/1/2 7:00,275.3634533,277.0942805,0.001141923
102.9,30,2011/1/2 8:00,275.3589602,276.8872291,0.001147576
102.9,30,2011/1/2 9:00,275.092373,276.1686389,0.001147576
102.9,30,2011/1/2 10:00,274.2836252,274.6563516,0.001147576
102.9,30,2011/1/2 11:00,273.4209609,272.0194909,0.001153229
102.9,30,2011/1/2 12:00,273.0929687,270.3996181,0.001158882
102.9,30,2011/1/2 13:00,272.7275345,268.9766471,0.001170189
102.9,30,2011/1/2 14:00,272.4564542,267.9799584,0.001187148
102.9,30,2011/1/2 15:00,272.2407881,267.4075221,0.001204107
102.9,30,2011/1/2 16:00,272.156918,267.4948085,0.001226719
102.9,30,2011/1/2 17:00,271.9861823,267.2979067,0.001232373
102.9,30,2011/1/2 18:00,271.7180974,266.1753632,0.001249332
102.9,30,2011/1/2 19:00,271.2493232,266.4859404,0.001294557
102.9,30,2011/1/2 20:00,271.2238626,266.469701,0.001339781
102.9,30,2011/1/2 21:00,271.2717884,267.4095521,0.001385006
102.9,30,2011/1/2 22:00,271.2687931,267.6145736,0.001430231
102.9,30,2011/1/2 23:00,271.4634916,268.2803859,0.001464149
102.9,30,2011/1/3 0:00,271.4245519,267.7647873,0.001503721
102.9,30,2011/1/3 1:00,271.231351,268.4448091,4.52E-05
102.9,30,2011/1/3 2:00,272.2093368,271.5262214,9.04E-05
102.9,30,2011/1/3 3:00,272.7709672,273.7367997,0.000130021
102.9,30,2011/1/3 4:00,273.6635852,276.1463098,0.000158286
102.9,30,2011/1/3 5:00,274.1113919,276.4528271,0.000180899
102.9,30,2011/1/3 6:00,274.4918029,276.9623359,0.000214817
102.9,30,2011/1/3 7:00,275.228662,277.3845584,0.00022047
102.9,30,2011/1/3 8:00,274.4214118,276.3635108,0.000226123
102.9,30,2011/1/3 9:00,273.575222,275.1780399,0.000344838
102.9,30,2011/1/3 10:00,272.7125577,273.6271842,0.000616186
102.9,30,2011/1/3 11:00,272.0116429,272.2042132,0.000797085
102.9,30,2011/1/3 12:00,271.6851484,271.270452,0.000955371
102.9,30,2011/1/3 13:00,271.5683293,270.931456,0.001085392
102.9,30,2011/1/3 14:00,271.4470171,270.3711993,0.001215413
102.9,30,2011/1/3 15:00,271.4260496,270.1438487,0.001317169
102.9,30,2011/1/3 16:00,271.3122258,269.605921,0.001379353
102.9,30,2011/1/3 17:00,271.1879183,269.2648951,0.001452843
102.9,30,2011/1/3 18:00,271.1369971,268.9989762,0.001531986
102.9,30,2011/1/3 19:00,271.1489786,269.0334847,0.00166766
102.9,30,2011/1/3 20:00,271.0935644,268.4691681,0.001769416
102.9,30,2011/1/3 21:00,271.0755922,268.3859416,0.001854212
102.9,30,2011/1/3 22:00,271.1384948,268.3636125,0.001916396
