longitude,latitude,time,t2m,skt,tp
106.5,29.6,2011/1/1 0:00,277.5410816,277.2485541,0.002227316
106.5,29.6,2011/1/1 1:00,277.3598622,277.2181053,0.000152633
106.5,29.6,2011/1/1 2:00,277.2490338,277.3155413,0.00029396
106.5,29.6,2011/1/1 3:00,277.2729967,277.5327423,0.000429634
106.5,29.6,2011/1/1 4:00,277.3658529,277.7012253,0.000576615
106.5,29.6,2011/1/1 5:00,277.4302532,277.9529349,0.000706636
106.5,29.6,2011/1/1 6:00,277.4826721,278.1721658,0.000819697
106.5,29.6,2011/1/1 7:00,278.859041,278.7243029,0.000836657
106.5,29.6,2011/1/1 8:00,278.7871523,279.3657563,0.000847963
106.5,29.6,2011/1/1 9:00,278.4396903,278.8684269,0.000853616
106.5,29.6,2011/1/1 10:00,278.032321,278.3710975,0.000870575
106.5,29.6,2011/1/1 11:00,277.5560584,277.7357339,0.000887534
106.5,29.6,2011/1/1 12:00,277.1996103,277.3196011,0.000898841
106.5,29.6,2011/1/1 13:00,276.7997295,276.937977,0.000921453
106.5,29.6,2011/1/1 14:00,276.5076817,276.6862674,0.000944065
106.5,29.6,2011/1/1 15:00,276.1811872,276.4853057,0.000983637
106.5,29.6,2011/1/1 16:00,275.8756602,276.1929978,0.001017555
106.5,29.6,2011/1/1 17:00,275.6000869,275.9595575,0.00106278
106.5,29.6,2011/1/1 18:00,275.3619556,275.8397925,0.00113627
106.5,29.6,2011/1/1 19:00,275.2840762,275.6388308,0.001192801
106.5,29.6,2011/1/1 20:00,275.0504379,275.5312453,0.001260638
106.5,29.6,2011/1/1 21:00,274.8003252,275.2714161,0.001322822
106.5,29.6,2011/1/1 22:00,274.7089666,275.2470571,0.001368047
106.5,29.6,2011/1/1 23:00,274.5562031,275.0298561,0.001401965
106.5,29.6,2011/1/2 0:00,274.4947982,274.9567791,0.001435884
106.5,29.6,2011/1/2 1:00,274.5936452,275.0623347,2.83E-05
106.5,29.6,2011/1/2 2:00,275.0174889,275.925049,6.22E-05
106.5,29.6,2011/1/2 3:00,275.4847654,277.0618018,0.000124368
