2011-2012/2019-2021,city,year,month,longitude,latitude,time,t2m,skt,tp
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 0:00,4.391081600000007,277.2485541,0.002227316
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 1:00,4.209862200000032,277.2181053,0.000152633
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 2:00,4.099033800000029,277.3155413,0.00029396
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 3:00,4.122996700000044,277.5327423,0.000429634
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 4:00,4.215852900000016,277.7012253,0.000576615
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 5:00,4.280253200000004,277.9529349,0.000706636
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 6:00,4.332672100000025,278.1721658,0.000819697
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 7:00,5.709041000000013,278.7243029,0.000836657
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 8:00,5.637152300000025,279.3657563,0.000847963
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 9:00,5.289690300000018,278.8684269,0.000853616
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 10:00,4.882321000000047,278.3710975,0.000870575
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 11:00,4.406058400000006,277.7357339,0.000887534
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 12:00,4.04961030000004,277.3196011,0.000898841
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 13:00,3.649729500000035,276.937977,0.000921453
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 14:00,3.3576817000000005,276.6862674,0.000944065
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 15:00,3.0311872000000335,276.4853057,0.000983637
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 16:00,2.72566020000005,276.1929978,0.001017555
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 17:00,2.4500869000000307,275.9595575,0.00106278
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 18:00,2.2119556000000102,275.8397925,0.00113627
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 19:00,2.134076200000038,275.6388308,0.001192801
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 20:00,1.9004379000000426,275.5312453,0.001260638
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 21:00,1.6503251999999975,275.2714161,0.001322822
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 22:00,1.5589666000000193,275.2470571,0.001368047
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/1 23:00,1.4062031000000275,275.0298561,0.001401965
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 0:00,1.3447982000000138,274.9567791,0.001435884
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 1:00,1.4436452000000486,275.0623347,2.83e-05
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 2:00,1.867488900000012,275.925049,6.22e-05
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 3:00,2.3347654000000375,277.0618018,0.000124368
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 4:00,2.5114918000000443,277.5510115,0.000203511
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 5:00,3.3801468999999997,279.830607,0.00023743
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 6:00,3.787516100000005,280.2507996,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 7:00,5.150406000000032,282.0208862,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 8:00,5.27770890000005,281.8422536,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 9:00,5.262732000000028,280.72377,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 10:00,5.126443100000017,279.2439613,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 11:00,4.946721300000036,278.1721658,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 12:00,4.492924000000016,277.3358405,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 13:00,3.944772700000044,276.5766519,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 14:00,3.8863631000000396,276.5401135,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 15:00,3.7126321000000075,276.3919296,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 16:00,3.5598686000000157,276.2802842,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 17:00,3.453533200000038,276.2478056,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 18:00,3.444547200000045,276.2884039,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 19:00,2.4860312000000135,275.3079545,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 20:00,2.159536800000012,274.9060312,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 21:00,1.7312000000000012,274.4229112,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 22:00,1.3403052000000457,274.0331674,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/2 23:00,1.1935324000000378,273.923552,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 0:00,1.136620500000049,273.8443852,0.000243083
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 1:00,1.8300469000000135,274.5995139,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 2:00,3.443049500000029,278.1011187,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 3:00,4.449491200000011,279.6824232,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 4:00,5.349597600000038,281.2495182,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 5:00,5.526323900000023,281.1135138,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 6:00,6.031042500000012,281.8239844,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 7:00,6.149359300000015,282.1913991,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 8:00,6.13138710000004,281.5783645,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 9:00,5.983116700000039,280.6100947,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 10:00,5.485886500000049,279.1262262,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 11:00,5.109968600000002,278.1356273,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 12:00,4.817920800000024,277.58755,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 13:00,4.510896100000025,277.1226993,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 14:00,4.5453428000000144,277.1815669,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 15:00,4.485435500000051,277.1815669,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 16:00,4.078066300000046,276.7816734,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 17:00,4.010670600000026,276.8121222,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 18:00,4.081061599999998,276.7897931,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 19:00,3.7725393000000054,276.4507972,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 20:00,3.997191500000042,276.5218442,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 21:00,4.031638200000032,276.3229125,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 22:00,3.997191500000042,276.38178,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/3 23:00,3.9432750000000283,276.2721646,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/4 0:00,3.9372843000000444,276.1828483,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/4 1:00,4.013666000000001,276.5969511,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/4 2:00,4.901790900000037,280.4497313,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/4 3:00,5.782427400000017,282.3517625,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/4 4:00,6.826311099999998,284.7064648,2.78e-17
2011-2012,Chongqing,2011,1,106.5,29.6,2011/1/4 5:00,7.576649400000008,286.4745215,2.78e-17
