longitude,latitude,time,t2m,skt,tp
114.3,35.8,2011/1/1 0:00,266.1602028,265.0589095,2.78E-17
114.3,35.8,2011/1/1 1:00,268.0682485,267.9373302,2.78E-17
114.3,35.8,2011/1/1 2:00,269.8040609,271.5810291,2.78E-17
114.3,35.8,2011/1/1 3:00,271.1489786,274.2869069,2.78E-17
114.3,35.8,2011/1/1 4:00,272.2093368,276.3411817,2.78E-17
114.3,35.8,2011/1/1 5:00,272.9536843,277.5834902,2.78E-17
114.3,35.8,2011/1/1 6:00,273.4284493,277.9001571,2.78E-17
114.3,35.8,2011/1/1 7:00,273.3056394,277.0009043,2.78E-17
114.3,35.8,2011/1/1 8:00,272.8323722,275.1638305,2.78E-17
114.3,35.8,2011/1/1 9:00,271.5084221,272.3564569,2.78E-17
114.3,35.8,2011/1/1 10:00,270.0182293,269.5409637,2.78E-17
114.3,35.8,2011/1/1 11:00,269.1705418,268.2479073,2.78E-17
114.3,35.8,2011/1/1 12:00,268.7541865,267.6734411,2.78E-17
114.3,35.8,2011/1/1 13:00,268.6358697,267.5739752,2.78E-17
114.3,35.8,2011/1/1 14:00,268.7466981,267.7932061,2.78E-17
114.3,35.8,2011/1/1 15:00,268.7601772,267.9007917,2.78E-17
114.3,35.8,2011/1/1 16:00,268.5729671,267.7607275,2.78E-17
114.3,35.8,2011/1/1 17:00,268.812596,268.1281423,2.78E-17
114.3,35.8,2011/1/1 18:00,268.8859824,268.3047449,2.78E-17
114.3,35.8,2011/1/1 19:00,267.7612239,267.3182058,2.78E-17
114.3,35.8,2011/1/1 20:00,267.5605346,267.0705561,2.78E-17
114.3,35.8,2011/1/1 21:00,267.5260879,267.0441672,2.78E-17
114.3,35.8,2011/1/1 22:00,267.6219395,267.1801716,2.78E-17
114.3,35.8,2011/1/1 23:00,267.9753923,267.653142,2.78E-17
114.3,35.8,2011/1/2 0:00,268.2404818,268.0449157,2.78E-17
114.3,35.8,2011/1/2 1:00,269.3652404,269.7074168,2.78E-17
114.3,35.8,2011/1/2 2:00,270.7221395,272.2448116,2.78E-17
114.3,35.8,2011/1/2 3:00,271.6477064,274.1062444,2.78E-17
114.3,35.8,2011/1/2 4:00,271.9742009,274.6259028,2.78E-17
114.3,35.8,2011/1/2 5:00,272.3770771,275.5109461,2.78E-17
114.3,35.8,2011/1/2 6:00,272.612213,275.9534678,5.65E-06
114.3,35.8,2011/1/2 7:00,272.9491913,275.7991942,5.65E-06
114.3,35.8,2011/1/2 8:00,272.6915901,274.500048,5.65E-06
114.3,35.8,2011/1/2 9:00,272.0086476,272.7624401,1.13E-05
114.3,35.8,2011/1/2 10:00,271.1834253,271.2034647,1.13E-05
114.3,35.8,2011/1/2 11:00,270.7535908,270.4605155,1.70E-05
114.3,35.8,2011/1/2 12:00,270.3881566,269.9570964,2.83E-05
114.3,35.8,2011/1/2 13:00,270.1080902,269.6444894,3.39E-05
114.3,35.8,2011/1/2 14:00,269.8489914,269.364361,5.09E-05
114.3,35.8,2011/1/2 15:00,269.7336699,269.3115832,6.78E-05
114.3,35.8,2011/1/2 16:00,269.4506082,268.9949163,8.48E-05
114.3,35.8,2011/1/2 17:00,268.9503827,268.3940612,9.04E-05
114.3,35.8,2011/1/2 18:00,268.3213566,267.6369026,9.04E-05
114.3,35.8,2011/1/2 19:00,267.8316149,266.3539958,9.04E-05
114.3,35.8,2011/1/2 20:00,268.0832253,265.6191663,9.04E-05
114.3,35.8,2011/1/2 21:00,268.3348358,265.0649993,9.04E-05
114.3,35.8,2011/1/2 22:00,268.3348358,264.8721573,9.04E-05
114.3,35.8,2011/1/2 23:00,267.5260879,264.7057042,9.04E-05
114.3,35.8,2011/1/3 0:00,266.6499445,264.8477983,9.04E-05
114.3,35.8,2011/1/3 1:00,269.254412,268.6092323,2.78E-17
114.3,35.8,2011/1/3 2:00,271.5818084,275.1963092,2.78E-17
114.3,35.8,2011/1/3 3:00,272.7724649,277.5063534,2.78E-17
114.3,35.8,2011/1/3 4:00,273.467389,278.4380848,2.78E-17
114.3,35.8,2011/1/3 5:00,274.0245263,279.203363,2.78E-17
114.3,35.8,2011/1/3 6:00,274.2297087,278.6654353,2.78E-17
114.3,35.8,2011/1/3 7:00,274.2491785,277.7621228,2.78E-17
114.3,35.8,2011/1/3 8:00,273.9571307,276.1463098,2.78E-17
114.3,35.8,2011/1/3 9:00,272.5627896,273.367355,2.78E-17
114.3,35.8,2011/1/3 10:00,270.6682229,270.3630796,2.78E-17
114.3,35.8,2011/1/3 11:00,269.7156978,268.9076299,2.78E-17
114.3,35.8,2011/1/3 12:00,269.2933517,268.2276081,2.78E-17
114.3,35.8,2011/1/3 13:00,269.0537227,267.8622233,2.78E-17
114.3,35.8,2011/1/3 14:00,268.8560288,267.6308129,2.78E-17
114.3,35.8,2011/1/3 15:00,268.6703163,267.4460905,2.78E-17
114.3,35.8,2011/1/3 16:00,268.6448557,267.4075221,2.78E-17
114.3,35.8,2011/1/3 17:00,268.4875992,267.3303853,2.78E-17
114.3,35.8,2011/1/3 18:00,268.1955514,267.1192741,2.78E-17
114.3,35.8,2011/1/3 19:00,268.051774,266.9751501,2.78E-17
114.3,35.8,2011/1/3 20:00,267.9993552,266.9670304,2.78E-17
114.3,35.8,2011/1/3 21:00,267.6938282,266.7904277,2.78E-17
114.3,35.8,2011/1/3 22:00,267.3268964,266.5082694,2.78E-17
114.3,35.8,2011/1/3 23:00,267.0992488,266.3133975,2.78E-17
114.3,35.8,2011/1/4 0:00,267.018374,266.2991881,2.78E-17
114.3,35.8,2011/1/4 1:00,269.4521059,269.1674592,2.78E-17
114.3,35.8,2011/1/4 2:00,272.368091,274.1224837,2.78E-17
114.3,35.8,2011/1/4 3:00,274.5487147,277.7743023,2.78E-17
114.3,35.8,2011/1/4 4:00,276.2111408,280.5349878,2.78E-17
114.3,35.8,2011/1/4 5:00,277.3179271,282.1771897,2.78E-17
114.3,35.8,2011/1/4 6:00,277.85859,282.5243053,2.78E-17
114.3,35.8,2011/1/4 7:00,277.506635,281.3530439,2.78E-17
114.3,35.8,2011/1/4 8:00,276.8641298,278.9739825,2.78E-17
114.3,35.8,2011/1/4 9:00,275.5132214,275.7931044,2.78E-17
114.3,35.8,2011/1/4 10:00,273.6201524,272.9837009,2.78E-17
114.3,35.8,2011/1/4 11:00,273.4838635,270.6939559,2.78E-17
114.3,35.8,2011/1/4 12:00,272.9057585,268.8304931,2.78E-17
114.3,35.8,2011/1/4 13:00,269.6992233,267.4927786,2.78E-17
114.3,35.8,2011/1/4 14:00,268.8934708,266.9548509,2.78E-17
114.3,35.8,2011/1/4 15:00,268.4217013,266.9162825,2.78E-17
