2011-2012/2019-2021,city,year,month,longitude,latitude,time,t2m,skt,tp
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 0:00,-6.989797199999998,265.0589095,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 1:00,-5.081751499999996,267.9373302,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 2:00,-3.3459390999999528,271.5810291,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 3:00,-2.0010213999999564,274.2869069,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 4:00,-0.9406631999999604,276.3411817,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 5:00,-0.1963156999999569,277.5834902,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 6:00,0.2784493000000339,277.9001571,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 7:00,0.15563940000004095,277.0009043,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 8:00,-0.3176277999999684,275.1638305,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 9:00,-1.6415778999999588,272.3564569,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 10:00,-3.131770700000004,269.5409637,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 11:00,-3.9794581999999536,268.2479073,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 12:00,-4.395813499999974,267.6734411,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 13:00,-4.514130299999977,267.5739752,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 14:00,-4.403301899999974,267.7932061,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 15:00,-4.38982279999999,267.9007917,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 16:00,-4.577032899999949,267.7607275,2.78e-17
2011-2012,Hebi,2011,1,114.3,35.8,2011/1/1 17:00,-4.337403999999992,268.1281423,2.78e-17
