longitude,latitude,time,t2m,skt,tp
102.4,23.4,2011/1/1 0:00,283.823854,280.0559277,1.70E-05
102.4,23.4,2011/1/1 1:00,285.1642786,282.0797538,2.78E-17
102.4,23.4,2011/1/1 2:00,287.6129872,287.7838172,5.65E-06
102.4,23.4,2011/1/1 3:00,290.0452214,291.3990973,5.65E-06
102.4,23.4,2011/1/1 4:00,291.8499271,294.275488,1.13E-05
102.4,23.4,2011/1/1 5:00,292.8189268,295.2133092,1.70E-05
102.4,23.4,2011/1/1 6:00,293.6007163,296.2932244,1.70E-05
102.4,23.4,2011/1/1 7:00,293.560279,296.3622415,1.70E-05
102.4,23.4,2011/1/1 8:00,293.3281384,295.2863861,1.70E-05
102.4,23.4,2011/1/1 9:00,292.7560242,293.8593553,1.70E-05
102.4,23.4,2011/1/1 10:00,291.9487741,291.9146959,1.70E-05
102.4,23.4,2011/1/1 11:00,290.0856587,289.1235617,1.70E-05
102.4,23.4,2011/1/1 12:00,289.2784086,286.149735,1.70E-05
102.4,23.4,2011/1/1 13:00,288.4516886,284.0162935,1.70E-05
102.4,23.4,2011/1/1 14:00,287.8526162,282.7841345,1.70E-05
102.4,23.4,2011/1/1 15:00,287.2026226,282.3740915,1.70E-05
102.4,23.4,2011/1/1 16:00,286.6649551,281.7245185,1.70E-05
102.4,23.4,2011/1/1 17:00,286.247102,281.7874459,2.83E-05
102.4,23.4,2011/1/1 18:00,285.9251006,282.0675743,3.39E-05
102.4,23.4,2011/1/1 19:00,285.965538,282.7232371,5.09E-05
102.4,23.4,2011/1/1 20:00,285.9475658,283.255075,7.91E-05
102.4,23.4,2011/1/1 21:00,285.8502165,283.2165066,0.000101756
102.4,23.4,2011/1/1 22:00,285.655518,282.7902243,0.000124368
102.4,23.4,2011/1/1 23:00,285.6420388,282.8978098,0.000152633
102.4,23.4,2011/1/2 0:00,285.7618533,283.3626606,0.000192205
102.4,23.4,2011/1/2 1:00,286.2935301,284.4527254,3.96E-05
102.4,23.4,2011/1/2 2:00,288.3962744,288.2831765,0.000107409
102.4,23.4,2011/1/2 3:00,289.6573219,290.1709982,0.000271348
102.4,23.4,2011/1/2 4:00,290.8824251,291.9492045,0.000508778
102.4,23.4,2011/1/2 5:00,291.6387541,292.9154444,0.000644452
102.4,23.4,2011/1/2 6:00,292.5403581,294.1110649,0.000797085
102.4,23.4,2011/1/2 7:00,292.8638572,294.5738857,0.000870575
102.4,23.4,2011/1/2 8:00,293.0795233,294.5820053,0.000938412
102.4,23.4,2011/1/2 9:00,292.39059,293.2138421,0.00098929
102.4,23.4,2011/1/2 10:00,291.5848376,291.4518751,0.001011902
102.4,23.4,2011/1/2 11:00,289.9269045,289.2818951,0.001045821
102.4,23.4,2011/1/2 12:00,288.7886669,287.0022996,0.001085392
102.4,23.4,2011/1/2 13:00,287.726811,285.1530463,0.001175842
102.4,23.4,2011/1/2 14:00,287.1322316,284.1462081,0.001215413
102.4,23.4,2011/1/2 15:00,286.7937556,283.4885153,0.001249332
102.4,23.4,2011/1/2 16:00,286.6005548,283.5331735,0.00128325
102.4,23.4,2011/1/2 17:00,286.2710649,283.1474895,0.001339781
102.4,23.4,2011/1/2 18:00,286.0808594,283.3058229,0.001413271
102.4,23.4,2011/1/2 19:00,286.0044777,283.2672545,0.001498068
102.4,23.4,2011/1/2 20:00,285.7753325,283.1008014,0.001673313
102.4,23.4,2011/1/2 21:00,285.8786725,282.7881944,0.001735497
102.4,23.4,2011/1/2 22:00,285.6390435,282.7597756,0.001842906
102.4,23.4,2011/1/2 23:00,285.3529864,281.905181,0.001859865
