2011-2012/2019-2021,city,year,month,longitude,latitude,time,t2m,skt,tp
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 0:00,9.06684210000003,280.9572103,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 1:00,11.024311300000022,283.2956733,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 2:00,13.350210100000027,287.2946075,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 3:00,14.993166300000041,289.7832843,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 4:00,16.303637300000048,291.7177941,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 5:00,17.085426900000016,292.661705,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 6:00,17.69049000000001,293.1630942,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 7:00,17.912146800000016,292.7368119,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 8:00,17.771364800000015,291.4985632,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 9:00,17.615606000000014,290.7089259,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 10:00,16.91918430000004,289.6148013,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 11:00,16.293153500000017,288.7744162,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 12:00,15.866314400000022,288.2567876,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 13:00,15.589243400000043,287.9259113,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 14:00,15.331642299999999,287.619394,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 15:00,15.045585200000005,287.3656546,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 16:00,14.780495599999995,287.1910818,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 17:00,14.440522000000044,286.9535817,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 18:00,14.191906900000049,286.7911884,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 19:00,13.835458800000026,286.5963165,5.65e-06
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 20:00,13.672211600000026,286.4034745,5.65e-06
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 21:00,13.495485200000019,286.2877693,1.13e-05
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 22:00,13.293298200000038,286.125376,1.13e-05
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/1 23:00,13.037194800000009,285.9244143,1.13e-05
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 0:00,12.839500900000019,285.7660809,1.13e-05
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 1:00,12.855975400000034,285.8756964,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 2:00,13.258851600000014,286.6044361,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 3:00,13.736611900000014,287.3717443,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 4:00,14.30423300000001,288.3968518,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 5:00,14.656188100000008,289.1073223,2.78e-17
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 6:00,14.954226600000027,289.7467458,5.65e-06
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 7:00,12.355749900000035,287.9137318,5.65e-06
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 8:00,12.345266100000003,287.3270862,5.65e-06
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 9:00,12.143079100000023,286.6409746,5.65e-06
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 10:00,11.567969600000026,285.6463159,1.13e-05
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 11:00,10.795166100000017,284.7633025,2.83e-05
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 12:00,9.910036600000012,283.9716353,0.000113062
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 13:00,9.159698300000002,283.1251604,0.000203511
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 14:00,8.404867100000047,282.3375531,0.000299614
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 15:00,7.849227400000018,281.6798603,0.000327879
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 16:00,7.486788500000046,281.4119114,0.000339185
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 17:00,7.257643300000041,281.2454583,0.000361797
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 18:00,6.998544500000037,281.0323172,0.000452247
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 19:00,6.332076400000005,280.4700305,0.000599227
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 20:00,6.141870900000015,279.9645815,0.000723595
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 21:00,6.047517000000028,279.7453505,0.000870575
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 22:00,6.034037800000021,279.5525085,0.000921453
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/2 23:00,6.062493800000027,279.6154359,0.001023208
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/3 0:00,6.093945100000042,279.6255855,0.001215413
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/3 1:00,6.242215500000043,279.6803932,0.000152633
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/3 2:00,6.6121427000000494,280.1574235,0.000327879
2011-2012,Nanning,2011,1,108.2,22.8,2011/1/3 3:00,6.929651100000001,280.5288981,0.000412675
