2011-2012/2019-2021,city,year,month,longitude,latitude,time,t2m,skt,tp
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 0:00,17.1558179,288.9997368,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 1:00,18.7508483,291.624418,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 2:00,20.2635062,295.0427962,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 3:00,21.5260514,297.6370287,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 4:00,22.6028841,299.3563674,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 5:00,23.1600215,300.1460046,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 6:00,23.4640508,300.450492,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 7:00,23.7755684,300.3489962,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 8:00,23.7291403,299.7461112,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 9:00,23.2498824,298.2257043,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 10:00,22.4306508,296.2445064,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 11:00,21.4676418,294.3688642,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 12:00,20.8056668,293.3051883,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 13:00,20.4342419,292.854547,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 14:00,19.9534862,292.1927944,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 15:00,19.4772236,291.5635205,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 16:00,18.9814912,290.9281568,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 17:00,18.6624851,290.5790113,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 18:00,18.3689396,290.2765539,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 19:00,18.5291915,290.3536907,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 20:00,18.4303445,290.3739898,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 21:00,18.3195161,290.3009129,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 22:00,18.2700926,290.2582846,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/1 23:00,18.3285022,290.3496308,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 0:00,18.6520013,290.8327508,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 1:00,20.0957659,293.1874532,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 2:00,21.6174099,296.0780533,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 3:00,23.1645145,298.8306192,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 4:00,24.2787893,300.4870305,1.13e-05
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 5:00,24.5933023,300.8422658,2.83e-05
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 6:00,24.834429,301.5710055,6.78e-05
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 7:00,24.6157676,301.0838257,0.000118715
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 8:00,24.0047137,299.6019872,0.000124368
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 9:00,23.5823676,298.5809395,0.000130021
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 10:00,22.7496569,296.7824341,0.000130021
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 11:00,21.9738581,295.1361724,0.000141327
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 12:00,21.4826186,294.1679025,0.00014698
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 13:00,21.0572772,293.4736713,0.00014698
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 14:00,20.6783639,292.9722821,0.00014698
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 15:00,20.3323995,292.5662989,0.00014698
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 16:00,20.0583239,292.2374526,0.00014698
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 17:00,19.8621277,292.0466405,0.00014698
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 18:00,19.5595961,291.7259138,0.00014698
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 19:00,19.7063688,291.8558284,0.00014698
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 20:00,19.6075219,291.8274096,0.000152633
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 21:00,19.5670845,291.8253796,0.000152633
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 22:00,19.3678929,291.5127726,0.000152633
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/2 23:00,19.4248048,291.6812556,0.000152633
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/3 0:00,19.6464616,292.0547601,0.000152633
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/3 1:00,20.9674163,294.3708941,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/3 2:00,22.4920557,297.4726055,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/3 3:00,23.9193458,300.1277354,2.78e-17
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/3 4:00,24.764038,301.1467531,1.7e-05
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/3 5:00,24.8464105,300.9924795,3.39e-05
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/3 6:00,24.9123084,302.1048734,7.35e-05
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/3 7:00,25.2507844,302.3301941,0.000163939
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/3 8:00,25.0321229,301.512138,0.000214817
2011-2012,Sanya,2011,1,109.1,18.4,2011/1/3 9:00,24.421069,300.040449,0.00023743
