2011-2012/2019-2021,city,year,month,longitude,latitude,time,t2m,skt,tp
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 0:00,-0.5572568000000047,272.7299614,2.78e-17
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 1:00,-0.021086999999965883,273.5074192,2.78e-17
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 2:00,0.9314382000000023,275.0095569,2.78e-17
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 3:00,1.8240562000000295,276.4913955,2.78e-17
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 4:00,2.393175000000042,277.467785,2.78e-17
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 5:00,3.198927500000025,279.1850938,2.78e-17
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 6:00,3.5344080000000417,279.4489828,2.78e-17
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 7:00,2.7586092000000235,277.9793238,5.65e-06
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 8:00,2.664255300000036,276.840541,1.13e-05
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 9:00,2.508496500000035,275.9636174,2.26e-05
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 10:00,2.195481099999995,275.2592366,2.83e-05
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 11:00,1.9258985000000166,274.7923559,3.39e-05
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 12:00,1.762651300000016,274.5771848,3.96e-05
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 13:00,1.6053947000000335,274.4310309,4.52e-05
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 14:00,1.3118492000000401,274.1610521,5.09e-05
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 15:00,1.1725648999999976,274.0514366,5.65e-05
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 16:00,0.9134661000000506,273.8281459,6.78e-05
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 17:00,0.8520611000000144,273.8159664,7.91e-05
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 18:00,0.7966469000000416,273.8220562,9.61e-05
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 19:00,0.4267197000000351,273.7205604,0.00014698
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 20:00,0.32937040000001616,273.6129748,0.000197858
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 21:00,0.2919284000000175,273.5987654,0.000277001
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 22:00,0.08075540000004366,273.5013295,0.000440941
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/1 23:00,-0.2142877999999655,273.3287866,0.000706636
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/2 0:00,-0.47488429999998516,273.2171412,0.001034515
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/2 1:00,-0.5767266999999947,273.3612653,0.000373104
2011-2012,Wuhan1,2011,1,114.3,30.4,2011/1/2 2:00,-0.4629028999999605,273.8119066,0.000774473
