2011-2012/2019-2021,city,year,month,longitude,latitude,time,t2m,skt,tp
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 0:00,0.3713055000000054,271.5181017,0.00106278
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 1:00,0.9928432000000385,272.2569911,7.35e-05
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 2:00,1.5095431000000303,275.1618006,0.000163939
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 3:00,2.0517037000000187,276.2072073,0.000271348
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 4:00,2.727157900000009,277.733704,0.000390063
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 5:00,3.0806106,278.1701359,0.000537043
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 6:00,3.106071200000031,278.2229137,0.000700983
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 7:00,3.1629831000000195,277.7134048,0.000864922
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 8:00,3.3067604999999958,278.0787897,0.001023208
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 9:00,2.6807297999999946,276.8933188,0.001175842
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 10:00,1.9618427999999994,275.8215233,0.001390659
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 11:00,1.109662300000025,274.5934242,0.001656354
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 12:00,0.7607026000000019,274.1488726,0.001967274
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 13:00,0.28893300000004274,273.5581671,0.002329071
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 14:00,-0.030073099999981423,273.2272908,0.002690869
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 15:00,-0.2382506999999805,272.9471624,0.003052666
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 16:00,-0.48237279999995053,272.6731238,0.00342577
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 17:00,-0.6890526999999906,272.4011151,0.00379322
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 18:00,-0.8208486999999991,272.2224825,0.004149365
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 19:00,-0.8148579999999583,271.7596617,0.004426366
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 20:00,-0.9107095999999615,271.7616916,0.004641183
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 21:00,-1.0874359000000027,271.5505803,0.004861653
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 22:00,-1.2117434999999546,271.3963067,0.005104736
2011-2012,Yaan,2011,1,102.9,30,2011/1/1 23:00,-1.3704976999999872,270.9334859,0.005381737
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 0:00,-1.2716506999999524,270.8401098,0.005687004
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 1:00,-1.5577078000000029,270.7995115,0.000344838
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 2:00,-1.3180787999999666,271.5444906,0.00060488
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 3:00,-0.7908951000000002,272.9634018,0.000797085
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 4:00,-0.6815642999999909,273.6556031,0.000955371
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 5:00,0.4551756000000182,275.90069,0.001057127
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 6:00,0.7756794000000014,276.4974852,0.001124964
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 7:00,2.213453300000026,277.0942805,0.001141923
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 8:00,2.2089602000000355,276.8872291,0.001147576
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 9:00,1.9423730000000319,276.1686389,0.001147576
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 10:00,1.13362520000004,274.6563516,0.001147576
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 11:00,0.27096090000003414,272.0194909,0.001153229
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 12:00,-0.05703130000000556,270.3996181,0.001158882
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 13:00,-0.42246549999998706,268.9766471,0.001170189
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 14:00,-0.6935457999999812,267.9799584,0.001187148
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 15:00,-0.9092119000000025,267.4075221,0.001204107
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 16:00,-0.9930819999999585,267.4948085,0.001226719
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 17:00,-1.1638176999999814,267.2979067,0.001232373
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 18:00,-1.4319026000000008,266.1753632,0.001249332
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 19:00,-1.9006767999999852,266.4859404,0.001294557
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 20:00,-1.9261373999999591,266.469701,0.001339781
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 21:00,-1.878211599999986,267.4095521,0.001385006
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 22:00,-1.8812068999999951,267.6145736,0.001430231
2011-2012,Yaan,2011,1,102.9,30,2011/1/2 23:00,-1.6865083999999797,268.2803859,0.001464149
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 0:00,-1.7254480999999942,267.7647873,0.001503721
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 1:00,-1.9186489999999594,268.4448091,4.52e-05
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 2:00,-0.9406631999999604,271.5262214,9.04e-05
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 3:00,-0.3790328000000045,273.7367997,0.000130021
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 4:00,0.5135852000000227,276.1463098,0.000158286
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 5:00,0.9613919000000237,276.4528271,0.000180899
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 6:00,1.3418029000000047,276.9623359,0.000214817
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 7:00,2.0786620000000084,277.3845584,0.00022047
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 8:00,1.2714118000000099,276.3635108,0.000226123
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 9:00,0.4252220000000193,275.1780399,0.000344838
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 10:00,-0.4374422999999865,273.6271842,0.000616186
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 11:00,-1.1383570999999506,272.2042132,0.000797085
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 12:00,-1.4648515999999745,271.270452,0.000955371
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 13:00,-1.581670699999961,270.931456,0.001085392
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 14:00,-1.702982899999995,270.3711993,0.001215413
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 15:00,-1.7239503999999783,270.1438487,0.001317169
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 16:00,-1.8377741999999557,269.605921,0.001379353
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 17:00,-1.9620816999999988,269.2648951,0.001452843
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 18:00,-2.0130029000000036,268.9989762,0.001531986
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 19:00,-2.0010213999999564,269.0334847,0.00166766
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 20:00,-2.056435599999986,268.4691681,0.001769416
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 21:00,-2.0744077999999604,268.3859416,0.001854212
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 22:00,-2.011505199999988,268.3636125,0.001916396
2011-2012,Yaan,2011,1,102.9,30,2011/1/3 23:00,-2.0414587999999867,267.6632915,0.001961621
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 0:00,-2.0174958999999717,267.0380775,0.001989886
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 1:00,-1.6430755999999747,268.327074,2.26e-05
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 2:00,-0.5812196999999628,271.2257938,3.96e-05
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 3:00,-0.12592459999996208,275.0846638,4.52e-05
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 4:00,1.609887800000024,277.1409685,5.09e-05
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 5:00,2.340756200000044,278.0929991,5.09e-05
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 6:00,3.245355600000039,278.1599863,5.09e-05
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 7:00,3.549384800000041,278.5456703,5.09e-05
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 8:00,2.974275300000045,277.7377638,5.09e-05
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 9:00,1.8824657000000116,276.1300705,5.65e-05
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 10:00,1.1306298000000083,274.9019714,0.000124368
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 11:00,0.257481700000028,273.2678891,0.000197858
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 12:00,-0.15587829999998348,272.0357302,0.000248736
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 13:00,-0.671080599999982,270.8319901,0.00031092
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 14:00,-0.603684899999962,270.6513276,0.000401369
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 15:00,-0.8328300999999669,269.9550665,0.00060488
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 16:00,-0.9736121999999909,269.942887,0.000785779
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 17:00,-1.0904312999999775,269.7865835,0.001091045
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 18:00,-1.274646099999984,269.9246178,0.001260638
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 19:00,-2.1957199999999943,268.5057066,0.001605476
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 20:00,-2.135812699999974,268.8650017,0.001842906
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 21:00,-2.185236199999963,269.0152155,0.00205207
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 22:00,-2.239152699999977,269.2588054,0.002244275
2011-2012,Yaan,2011,1,102.9,30,2011/1/4 23:00,-2.3275158999999803,269.122801,0.002408214
2011-2012,Yaan,2011,1,102.9,30,2011/1/5 0:00,-2.382930099999953,269.0314548,0.002555195
2011-2012,Yaan,2011,1,102.9,30,2011/1/5 1:00,-1.8527509999999552,269.1816686,0.00014698
